title,desc
"Yashpal Sharma: Yashpal Sharma: Guts, glory and less feted innings of &rsquo;83 WC that BBC didn&rsquo;t cover | Cricket News","Very few people remember that it was Yashpal Sharma&rsquo;s 89 in India&rsquo;s opening of 1983 World Cup game at Old Trafford against the West Indies, which the team won by 32 runs, that set the tone for things to come."
Dilip Vengsarkar: Dilip Vengsarkar mourns tragic loss of 1983 World Cup winning team's fittest member Yashpal Sharma | Cricket News,Dilip Vengsarkar was taken aback to hear about Yashpal Sharma's untimely demise as he had just met him last week and said that he was the fittest out of all other Indian team mates who won the 1983 World Cup.
"FM Sitharaman, Bhutan FM Lyonpo Namgay Tshering jointly launch BHIM&ndash;UPI in Bhutan | Business News","The services have started in Bhutan under India's Neighbourhood First Policy and India is proud of its achievement and feels pleasure in sharing it with its valued neighbour, said FM Sitharaman."
"Lionel Messi contract: Lionel Messi's contract renewal is progressing adequately, says Barcelona President Joan Laporta  | Football News","Lionel Messi became a free agent on July 1 after his contract with Barcelona expired, but the club has still not given up on giving him a 2-year deal."
"Congress to meet&nbsp;Pawar,&nbsp;Thackeray over&nbsp;Maratha reservation; party and&nbsp;govt functioning different: Nana Patole | Maharashtra News",Maharashtra Congress chief Nana Patole said there was a difference of the party with Shiv Sena and NCP over Maratha and OBC reservation and said the party will discuss the matter with MVA constituents.
"Ahmedabad: Heavy rain lashes parts of city, brings respite for residents from scorching heat | Ahmedabad News","Ahmedabad got a respite from the humid climate, received heavy rainfall on Sunday."
S&amp;P affirms India rating at lowest investment grade for 14th year in a row | Business News,"The sovereign credit ratings on India reflect the economy's above-average long-term real GDP growth, sound external profile, and evolving monetary settings, S&amp;P Global Ratings stated"
BWF World Championships: India to host Badminton World Federation World Championships in 2026  | Badminton News,"Badminton World Federation (BWF) on Tuesday confirmed that India is awarded the hosting rights of the BWF World Championships in 2026 while Suzhou, China, will stage the BWF Sudirman Cup Finals 2023."
Honda Dio's price in India increased,"After increasing the prices of Activa 6G, Activa 125, Shine, and SP 125, Honda has hiked the prices of Dio scooter in India by ₹1,237."
"Prashant Kishor meets Rahul Gandhi, sets off political buzz | India News",Sources said Punjab elections came up for discussion during the meeting between Rahul Gandhi and Prashant Kishor. It may be noted here that Kishor has been advising Punjab CM Amarinder Singh.
OPPO bets big on AI-driven 6G networks in next decade: Details here  ,"OPPO has established a pre-research team to conduct preliminary research on 6G service and technology requirements, key technologies and system features."
India expanded cooperation with Africa with 18 new embassies: EAM S Jaishankar | India News,The Foreign Minister was&nbsp;speaking at the inaugural session of the 16th CII-EXIM Bank Conclave on the India-Africa Project Partnership.
"Not just in Manali, 'rush for freedom&rsquo; a global phenomenon, says Anand Mahindra amid growing concerns over crowded hill stations in India | Business News",Mahindra has recently posted a video on Twitter in which several Americans were seen going to national parks in record numbers
Google fined $592 million in dispute with French publishers | Business News,"Google France said in a statement it was &quot;very disappointed&quot;&nbsp;by the decision, and that the fine &quot;doesn't reflect the efforts put in place or the reality of the use of news content on our platform.&quot;"
Tatva Chintan is among top 2-3 players globally in specialty chemicals it produces: Chintan Shah | Business News,"The IPO of Tatva Chintan Pharma is set to be open from 16th through the 20th of July.  We had a short conversation with their Managing Director and first-generation entrepreneur, Chintan Shah."
"TN NEET Committee not an act of defiance: Madras HC dismisses plea, allows state to seek opinion | Education News","TN NEET Committee set up by the government is not an act of defiance, Madras HC says Supreme Court of India. HC has also cancelled the plea filled by BJP's general secretary K Nagarajan. Check details here."
Sri Lanka Cricket Team: Muttiah Muralitharan Muttiah Muralitharan slams four senior cricketers over SLC contract dispute | Cricket News,Several Sri Lankan cricketers had refused to sign a contract with the board due to a pay dispute after agreeing to play against&nbsp;England&nbsp;on tour contract.
UP: Man sells off PM Awas Yojana house after wife refuses to return from maternal home | India News,"Inquiries revealed that the man had been trying to convince his wife to return from her maternal home for the last one year, but she kept turning him down."
"England vs Pakistan: ENG vs PAK, 3rd ODI Dream11 prediction today: Fantasy cricket tips for England vs Pakistan match | Cricket News","England will take on Pakistan in the third and final ODI&nbsp;at Edgbaston Cricket Ground on Tuesday, July 13 at 17:30 PM IST.&nbsp;Here's our Dream11 prediction for this match."
"Ireland vs South Africa: IRE vs SA, 2nd ODI Dream11 prediction today: Fantasy cricket tips for Ireland vs South Africa match | Cricket News","Ireland will lock horns with South Africa in the second ODI of bilateral series at the The Village, Malahide, Dublin on Tuesday (July 13) at 3:15 PM IST. Here's our Dream11 prediction for this match."
"People taking third wave of COVID-19 warning as weather update, not understanding its seriousness: Centre | India News","Central teams have been deputed to 10 states including Assam, Mizoram, Arunachal Pradesh and Manipur to support them in COVID-19 management, the Union health ministry said."
[Ground Report] Himachal Pradesh: Rescue ops underway as heavy rains trigger flash flood; 9 missing in Kangra  | India News,"Due to incessant rainfall, Kangra district's Boh Valley has witnessed heavy damage."
"Learn a new language, acquire a new soul | Education News","Language is not just grammar and syntax it is music, rhythm, pitch. Contrary to popular belief not all Dravidian languages sound the same to the sensitive ear."
Maharashtra Congress leaders not happy with Patole? | Mumbai News Updates,Top Congress leaders of Maharashtra today Met HK Patil in Mumbai and discuss the situation of Congress in Maharashtra.
Sourav Ganguly biopic Ranbir Kapoor | Ranbir Kapoor emerges as 'hot favourite' after Sourav Ganguly says &lsquo;yes&rsquo; for his biopic: Report | Cricket News,"According to a report, Bollywood actor Ranbir Kapoor has emerged as a frontrunner to play Sourav Ganguly in his biopic. Ganguly has reportedly agreed to&nbsp;have a Bollywood biopic on his iconic career."
Yuvraj trolls Ishant: Yuvraj Singh hilariously trolls Ishant Sharma over his golf skills on Instagram: 'Lambu ji khul ke..' | Cricket News,Former India all-rounder Yuvraj Singh recently trolled Ishant Sharma on Instagram over his golf skills. The senior Indian pacer is currently enjoying his break in England.
Credit Suisse and CITI expect inflation to moderate in times ahead | Business News,"CPI Inflation data eased to 6.26% in June 2021 versus 6.3% in May 2021. Headline CPI Inflation was recorded at 6.26%, while Food CPI Inflation was touched 5.15% levels."
Taliban say do not want to fight inside Afghanistan's cities ,The head of a Taliban commission that oversees government forces who surrender to the insurgents urged the residents of cities to reach out to them.
"RIL invests in 10,000 equity shares of Reliance New Energy Solar Ltd | Business News","Anant Ambani, the younger son of RIL chairman Mukesh Ambani, has been appointed as a director of Reliance New Energy Solar and Reliance New Solar Energy"
You can now register complaints about defects in vehicles via Parivahan website,"India, at the moment, follows a voluntary vehicle recall policy."
"After UP, red alert issued in Indore, nearby districts over security concerns in MP; security beefed up  | India News",MP: DGP instructed to issue a red alert in Madhya Pradesh over security concerns. Bomb disposal squad has also been deployed.
"MHT CET Registration 2021 for MBA admission ends on July 17 - Exam dates, where and how to apply here | Education News","MHT CET Registration 2021 for MBA admission is scheduled to end on July 17, 2021 at 11:59 pm. Students would be able to apply for the entrance examination on the official website, mba2021.mahacet.org."
"Inflation caused by Centre's wrong policies, inept management of economy: P Chidambaram  | India News","We hold the Central government under the leadership of Prime Minister Narendra Modi directly responsible for the high inflation, P Chidambaram said."
Rejected all BJP members&rsquo; resignations; I and Pritam Munde Khade have no desire for ministerial post: Pankaja  | Maharashtra News,SEveral BJP workers had resigned in Mahaarshtra's Beed over he non-inclusion of MP Pritam Munde Khade in Union Cabinet. BJP national general secretary Pankaja Munde said that she has rejected all resignations.
Bollywood ex-couples | Divorced but friends! Bollywood ex-couples who are proving that separation can be cordial  ,Not all marriages end on an ugly note. Take a look at Bollywood ex-couples who are friends even after divorce and are proving that separation can be cordial.
"Gayle vs ICC: 'I am the boss, not ICC' - Chris Gayle's hilarious interview after record-breaking knock goes viral | Cricket News",West Indies batsman Chris Gayle compared himself to the ICC as he picked the 'real boss' of cricket in a funny interview post his record-breaking knock against Australia.
Anti-terror law should not be 'misused to harass citizens': Supreme Court judge  | India News,Justice Chandrachud was addressing an event on the legal ties between India and the United States when he made the comments.
Football size goldfish| Football-sized goldfish take over lake after people dump them in wild | Trending & Viral News,"Football-sized goldfish have taken over Keller Lake in Minnesota, US, after people dumped the unwanted pets in the wild."
"NIT Andhra Pradesh to collaborate with Industry on Mobile Satellite Communications, signs MoUs | Education News","NIT Hyderabad is going to collaborate with industry partners. The collaboration will be made on key areas such as Semiconductor Design, Power Quality in Renewable Technology, and Mobile Satellite communication."
Pune region clocks 817 fresh COVID-19 cases in 24 hours; recovery rate shows sign of positivity | Pune News,"The cumulative death toll due to coronavirus in Pune stands at 18,107."
Electricity thief&rsquo;s bid to snip wire after anti-power theft squad&rsquo;s arrival leaves everyone in splits &ndash; WATCH  | Delhi News,The video showed the man crawling on the balcony to snip a cable he had illegally connected to a power source in Muradnagar area of Uttar Pradesh's Ghaziabad.
Tokyo Olympics 2021: Olympics: Tokyo governor vows city's medical system is ready for Games | Sports News,"Tokyo entered its fourth state of emergency on Monday causing bars and restaurants to close early, amid a rebound in COVID-19 cases that also pushed the Games organisers to ban spectators from nearly all venues"
Yashpal Sharma death: Prime Minister Narendra Modi expresses anguish at former India cricketer Yashpal Sharma's death | Cricket News,"PM Narendra Modi expressed anguish at the death of former Indian cricketer Yashpal Sharma and condoled his family and admirers. He called him an inspiration for teammates, fans as well as budding cricketers."
"Madhya Pradesh cabinet approves Rs 1,000 additional pension for widows of Bhopal gas leak victims  | India News","This is in addition to the social security pension for the surviving widows of the Bhopal gas leak victims, state Home Minister Narottam Mishra said."
"Man converts motorcycle to electric bike to beat fuel price hike | Fed up with rising fuel prices, Telangana man converts his 15-year-old motorcycle into electric bike  | Trending & Viral News","Once he had all the necessary parts, he replaced&nbsp;the petrol engine of his bike&nbsp;with batteries and a motor with the help of a two-wheeler mechanic."
"Sensex Today I Sensex ends nearly 400 points higher, Nifty settles above 15,800; Mid, smallcaps underperform | Business News","Among the sectors, barring IT, teck and FMCG, all ended in the green, with banking and financial indices rising over a percent each"
Buy Now Sell Now: What should you bet on?  | Business News,Confused about your portfolio? Which stock should you buy or sell now? Ask ET NOW &amp; get all your stock-specific queries answered by top market experts on Buy Now Sell Now.
Kandahar | Indian consulate general in Kandahar not closed: Afghanistan&rsquo;s Ambassador to India | India News,"India is closely tracking the evolving security situation in Afghanistan, said External Affairs Ministry spokesperson Arindam Bagchi."
Iran news | Talks with Iran will yield little,There are two aspects hovering in the background to this putative Saudi-Iranian rapprochement.
"Woman writes letters to prisoner| Woman finds soul mate in prisoner after writing him letters, invites him to move in with her after his release | Trending & Viral News",A UK woman who wrote letters to a prisoner who was convicted for smuggling drugs to Thailand invited him to move in with her after his release. She says that he is his 'soul mate'.
Madras HC pulls up actor Vijay over evading entry tax on his Rolls-Royce car; imposes Rs 1 lakh fine | Chennai News Headlines,Madras High Court said that the petitioner imported a prestigious and costly car from England but unfortunately has not paid the Entry Tax as per the statutes.
Mahindra &amp; Mahindra expects EV space to see lot of changes in next 2-3 years | Business News,"Anish Shah, MD &amp; CEO - Mahindra Group joins ET Now to share how the company is gearing up to Reboot India."
"pm Narendra modi to interact with cms of Tamil Nadu, Andhra Pradesh, Karnataka, Odisha, Maharashtra, Kerala on July 16 on covid 19 situation | India News","Prime Minister Narendra Modi will interact with the Chief Ministers of Tamil Nadu, Andhra, Karnataka, Odisha, Maharashtra and Kerala to review the Covid-19 situation."
Kawasaki Vulcan S Cafe variant revealed,"Kawasaki Vulcan S Cafe variant get a triple-tone colour scheme and a tinted windscreen. It draws power from a a 649 cc, liquid-cooled, parallel-twin engine that puts out 60 bhp and 62 Nm of peak torque."
India's Covid-19 'Patient Zero' tests positive again for coronavirus in Kerala | India News,"She had tested positive for COVID-19 on January 30 last year on her return from Wuhan in China, the epicentre of the outbreak."
Jadavpur University invites online applications for Post Graduate&nbsp;Programmes&nbsp;from July 15&nbsp;&nbsp; | Education News,"Jadavpur University, JU has invited applications for its Post Gradute Programmes&nbsp;for the academic year 2021- 22 from July 15. Interested and eligible candidates can check for more details here-jaduniv.edu.in."
NIA to investigate Srilankan human trafficking  | Bengaluru News,"As a part of human trafficking operation, and after being tipped off by Tamil Nadu police,the Mangaluru City Crime Branch cops had arrested nearly 38 Srilankan Nationals who were staying illegally in Karnataka"
"Azam Khan, son discharged from hospital after recovering from Covid; being taken back to jail | India News","Azam Khan and his son, Abdullah Azam, were taken back to the jail where they had been lodged prior to their hospitalization, Sitapur district jail superintendent Suresk Kumar Singh said."
UP Board Result 2021: Expected soon - download UPMSP 10th Roll Number from upmsp.edu.in here | Education News,"UP Board Result 2021 for Class 10 is likely to be announced by July 15 or latest by the end of this week. Meanwhile, students can download their UPMSP 10th Roll Number from the official website, upmsp.edu.in."
"Delhi: Stalker attacks 16-year-old girl with axe day before her birthday, victim battles for life | Delhi News",Eyewitnesses at the spot told police that the stalker attacked the girl with an axe after an argument with him in South Moti Bagh area of Delhi on Monday.
"Kalyan Singh health update: Vital parameters of former Uttar Pradesh CM under control, hospital says | India News",Former Uttar Pradesh CM Kalyan Singh was admitted to the ICU of the Sanjay Gandhi Post Graduate Institute of Medical Sciences in Lucknow on July 4 due to an infection and reduced consciousness level.
&lsquo;Opposition always recognised my work&rsquo;: Navjot Singh Sidhu&rsquo;s words of praise for AAP amid Punjab factionalism | India News,"In April, Punjab Chief Minister Amarinder Singh had claimed that Sidhu was in talks with Aam Aadmi Party (AAP) chief Arvind Kejriwal and that he can switch sides at any moment."
India's Archery contingent at Tokyo Olympics | India's Archery contingent for Tokyo Olympics: All you need to know | Sports News,"A total of 4 archers have qualified for Tokyo Olympics from India. Deepika Kumar, among them, is the country's biggest medal hope."
Google to buy Japanese payments firm Pring,"The startup's three top shareholders - Metaps, software company Miroku Jyoho Service Co Ltd and Nippon Gas Co - announced on Tuesday they would sell their combined 87% holding in Pring to Google"
NTA invites applications for admission to LNIPE 2021 at lnipe.nta.ac.in - check details here  | Education News,NTA has invited applications for admission to LNIPE 2021 for the academic year 2021-22. Candidates interested in applying for it can do so at the given site- lnipe.nta.ac.in.
Family finds female mountain lion hiding under their house | Family finds 27-kg female mountain lion hiding under the deck of their home [WATCH] | Trending & Viral News,Authorities said the animal was in good shape and was released back into a&nbsp; &quot;more appropriate habitat&quot; in Douglas County.
"Monsoon session| IBC, LLP Act among 17 bills to be tabled by government in Monsoon Session of Parliament | India News",The Monsoon Session of the Parliament is slated to begin from Jily 19.
Dravid on Ganguly's shirt-waving act: Hilarious! How Rahul Dravid reacted to Sourav Ganguly's iconic shirt-waving after India's NatWest Trophy win | Cricket News,Rahul Dravid had a hilarious reaction to Sourav Ganguly's shirt-waving act at the Lord's balcony after India's historic 2002 Natwest Trophy triumph on July 13.
MK Stalin seeks PM Modi's intervention to correct the imbalance in vaccine allocation for Tamil Nadu | Chennai News Headlines,The letter comes at a time when Tamil Nadu health department had to suspend vaccination drive in the state for several days due to shortage of vaccine doses.&nbsp;
"Mahindra Bolero Neo launched in India: Check price, specs, features, etc.","Essentially a facelifted version of the TUV300 SUV, the Bolero Neo is available with a diesel engine and a five-speed manual gearbox. In its new iteration, the SUV also gets manual lock&nbsp;differential."
Yashpal Sharma | Watch: When Yashpal Sharma smashed two T20-styled sixes against England in 1983 World Cup semi-final | Cricket News,"Yashpal Sharma was an important member of India's 1983 World Cup-winning team. He had hit 61 runs against England in the semi-final, smashing two sixes in the process."
"These BMC vaccination centres will administer Covishield, Covaxin on July 13 | Mumbai News Updates","The Brihanmumbai Municipal Corporation (BMC) has declared that vaccination for first and second doses of Covishield and Covaxin will occur on 13 July 2021, with 70% first doses and 30% second doses to be given."
"Jacob Zuma | South Africa violence: Protests, rioting - what is happening in South Africa and why? All you need to know",South Africa news: Reports of rioters looting shops and pelting stones at police surfaced on Tuesday as violent protests spread across South Africa.
"Chennai civil work status: Chennai: Updates on civil work status, a click away! | Chennai News Headlines",Chennai civil work status can be checked online now. The Chennai corporation has decided to put all information about the current and future project on an online portal for residents.
"Sputnik V vaccine | SII to manufacture Sputnik V COVID-19 vaccine from September, announces RDIF | India News",India has already started administering Sputnik V vaccine &ndash; the third jab to be approved by the country after Covishield and Covaxin.
How to bring back your skin's pH if it's out of balance,"With skincare, one has to find a balance. Doing less is better than overdoing and throwing off your skin's pH balance, resulting in a number of problems."
[WATCH] Arya and Pa Ranjith's Sarpatta Parambarai trailer out now!,The trailer of the much-awaited film Sarpatta Parambarai starring Arya has been released on Tuesday. The period sports drama is directed by Pa Ranjith.
"Delhi complains of vaccine shortage, Health Minister says &lsquo;we are having to repeatedly shut down centres&rsquo; | Delhi News","Delhi had only 19,000 doses of Covishield and 2,39,000 doses of Covaxin as of Monday morning."
"[PHOTOS] Buildings damaged, streets waterlogged: Cloudburst and flash floods wreak havoc in Himachal Pradesh | Trending & Viral News",Himachal Pradesh flood: Incessant rainfall continues to wreak havoc in parts of Himachal Pradesh while an incident of cloudburst near Dharamshala has triggered a flood-like situation.
Uttar Pradesh Government: Tokyo Olympics: Uttar Pradesh government to give Rs 6 crore to gold medal winners from state  | Sports News,UP government announced a Rs 6 crore cash reward for all the athletes  from the state who will win Gold medal in Tokyo Olympics. They'll further give Rs 4 crore to silver medalist while Rs 2 crore to bronze.
Woman named after dad's mistress| Dad names daughter after woman he was having affair with - to avoid getting caught if he slipped up | Trending & Viral News,A woman has shared how her father named her after the woman he was having an affair with so that he cover up just in case he slipped up the wrong name.
Kerala now has 22 Zika virus cases; three more patients test positive | Kerala News,"The Pinarayi Vijayan government has already secured 2,100 test kits for Zika virus and these will be used at four medical colleges in Kerala."
South Africa deploys army to quell unrest linked to ex-president Jacob Zuma jailing ,"We will not hesitate to arrest and prosecute those who perpetrate these actions and will ensure that they face the full might of our law, South African President Cyril Ramaphosa said."
Canada to donate 17.7 million AstraZeneca vaccine to other countries ,Procurement Minister Anita Anand said that the vaccine doses are a part of the Canadian government's advance purchase agreement with the company and would be distributed through COVAX.
Covid-19 latest news | Temporary relief for importing API/excipients for Amphotericin B &amp; COVID test kit material  | Business News,CBIC has announced an exemption on basic customs duty on imports of specified API/ excipients for Amphotericin B
Mahindra &amp; Mahindra sees no significant impact due to chip shortages | Business News,Anish Shah of M&amp;M joins ET Now to share how the company is gearing up to Reboot India.
"Yashpal Sharma death | Cricketer Yashpal Sharma passes away; 83 actors Ranveer Singh, Jatin Sarna, and others are heartbroken","83 star cast comprising Ranveer Singh, Jatin Sarna are heartbroken as cricketer Yashpal Sharma passed away earlier today (July 13)."
Daily average of Covid-19 vaccinations sees a dip since June 21: Centre | India News,"An average of 61.14 lakh doses of COVID-19 vaccine were administered daily in the week from June 21-27, which dropped to 41.92 lakh doses daily in the subsequent week of June 28-July 4."
Famous bodyguards of Bollywood celebs who protect your favourite stars,"Apart from the fame that the Bollywood celebs enjoy, their bodyguards are just as famous. From Salman Khan and Shera to Deepika Padukone and Jalal - here are the most famous bodyguards."
"Chris Gayle: Plenty still left in the tank: Chris Gayle after 14,000-run landmark in T20s | Cricket News"," Chris Gayle became the first batsman to score 14,000 T20 runs as he registered his 14th T20I half-century for the country. He achieved the landmark in the third T20I against Australia on Tuesday."
